
Date: 8/14/2018 4:17:46 PM
Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 1 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 10.2.117.165
      Port: 50000

IDN: sm125 0.8
Image ID: 0.0
S/N: SIA38D

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50.00 dB
	Rel. Thresh.: -8.00 dB
	Width Level: 3.00 dB
	Width: 0.10 nm
	Detect Valley: False

Wavelength Start (nm): 1510.0000
Wavelength Delta (nm): 0.0050

Wvl (nm)	 CH 1 	 CH 2 	 CH 3 	 CH 4 

1510.0000	-59.4900	-50.6100	-58.5300	-48.1100
1510.0050	-59.5000	-50.5800	-58.4700	-48.2000
1510.0100	-59.6000	-50.6300	-58.5000	-48.2500
1510.0150	-59.6900	-50.7100	-58.6000	-48.2500
1510.0200	-59.6700	-50.7300	-58.5900	-48.2600
1510.0250	-59.6000	-50.5500	-58.4000	-48.3100
1510.0300	-59.6100	-50.5800	-58.3700	-48.3200
1510.0350	-59.6800	-50.6500	-58.4400	-48.3000
1510.0400	-59.7200	-50.6700	-58.5100	-48.2200
1510.0450	-59.6300	-50.6600	-58.4900	-48.1600
1510.0500	-59.5900	-50.5500	-58.3800	-48.1200
1510.0550	-59.6500	-50.6600	-58.4700	-48.0600
1510.0600	-59.6200	-50.6800	-58.5100	-47.9700
1510.0650	-59.5600	-50.5500	-58.3200	-47.8800
1510.0700	-59.6300	-50.5700	-58.3700	-47.7600
1510.0750	-59.6700	-50.6100	-58.4000	-47.6400
1510.0800	-59.7000	-50.6300	-58.4600	-47.6000
1510.0850	-59.7400	-50.6600	-58.5200	-47.6200
1510.0900	-59.7500	-50.7100	-58.5500	-47.5900
1510.0950	-59.6300	-50.5800	-58.5800	-47.6600
1510.1000	-59.5800	-50.6600	-58.5900	-47.7400
